Project ID,File Name,Execution Status,Reason,Error Message
qhaf8,pupillometry_tutorial_calignano.R,Failed,Code Issue,Directory Change Failure
8edp7,Social Factors COVID-19_Konrad.R,Failed,Code Issue,Invalid Function Argument
uhma8,mmcpsr_author_data.R,Failed,Container Issue,Missing Package
uhma8,apsa_race_ethnicity.R,Failed,Code Issue,Directory Change Failure
ntw7d,SRMA2019_analyses.R,Failed,Container Issue,View Function Failed - No GUI
92e6c,hadza_combine_data.R,Failed,Container Issue,Missing Package
92e6c,analyze_scan_model_hadza.R,Failed,Container Issue,Missing Package
92e6c,fill_summary_table.R,Failed,Code Issue,Object or File Missing
92e6c,hadza_returns_model.R,Failed,Container Issue,File Read Error - Cannot Open Connection
6ukwg,utility_functions.R,Success,-,-
6ukwg,codes_reanalysis.R,Failed,Container Issue,Missing Package
6ukwg,stuart.R,Failed,Container Issue,File Read Error - Cannot Open Connection
rs6un,Data.PC.VAR.Fixed.R,Success,-,-
rs6un,Psi.PS.AR.Matrix.R,Success,-,-
rs6un,MSE.VAR.Sys.R,Success,-,-
rs6un,Data.VAR.Fixed.R,Success,-,-
rs6un,Data.Cluster.VAR.R,Success,-,-
rs6un,Data.Cluster.VAR.Fixed.R,Success,-,-
rs6un,Code_Simulation_Part_III_MVAR_RE.R,Failed,Code Issue,Missing Function Definition
wbyj7,Exp1-LBA-null.r,Failed,Container Issue,Shared Library Not Found
wbyj7,read-data-Exp1.r,Success,-,-
wbyj7,pmwg-DIC.r,Success,-,-
7v4ep,Collaboration boosts career progression_part 1.R,Failed,Container Issue,Shared Library Not Found
7v4ep,Collaboration boosts career progression_part 2.R,Failed,Container Issue,Package Loading Failed
qynhu,subject19.R,Failed,Container Issue,File Read Error - Cannot Open Connection
qynhu,subject21.R,Failed,Container Issue,File Read Error - Cannot Open Connection
a3yd4,Functions_IRT.R,Success,-,-
r4wg2,elsa_analyses.R,Failed,Container Issue,Missing Package
r4wg2,stadyl_analyses.R,Failed,Container Issue,Missing Package
mp9td,is_hitname_in_range.R,Success,-,-
mp9td,Stats_Third.R,Success,-,-
mp9td,TablePrep_Third.R,Failed,Code Issue,Missing Directory or Path
mp9td,interface.R,Failed,Code Issue,Missing Function Definition
mp9td,get_first_free_fi.R,Success,-,-
mp9td,get_gazeshift_latency.R,Success,-,-
mp9td,get_looks.R,Success,-,-
mp9td,preflight.r,Success,-,-
dqjyh,Script.R,Success,-,-
5yvnb,analyse_final_Exp5_OSF.R,Failed,Container Issue,Missing Package
5yvnb,analyse_final_Exp6_OSF.R,Failed,Container Issue,Missing Package
7h94n,Malawi_ordination.R,Failed,Container Issue,File Read Error - Cannot Open Connection
7h94n,Malawi_interpolation.R,Failed,Container Issue,File Read Error - Cannot Open Connection
cht59,01_tables_1_2.r,Failed,Code Issue,Compressed File Not Found
meh5w,modelComparison.R,Failed,Container Issue,Shared Library Not Found
meh5w,multiplicationFactor_ttest.R,Failed,Container Issue,Shared Library Not Found
2qjn5,redraw_figures.R,Failed,Container Issue,PDF Cairo Stream Error
2qjn5,dump_csv.R,Failed,Container Issue,Shared Library Not Found
fr5ed,01_data_prepare.R,Success,-,-
fr5ed,03_posterior_visualization_country_contrast.R,Failed,Container Issue,Missing Package
fr5ed,02_analysis_single_estimate.R,Failed,Container Issue,Missing Package
dcw4x,04_figures_estimates_marginal_means.R,Failed,Code Issue,Missing Package
t93pf,Simulation-Random-Significance.r,Success,-,-
3gfqn,VADIS_genitives_outer_circle.R,Failed,Container Issue,Shared Library Not Found
3gfqn,VADIS_particles_InnerC-only.R,Failed,Container Issue,Shared Library Not Found
62je8,DMS-NRSA-CA-QC-Figures.R,Failed,Container Issue,Missing Package
zcv4m,winke_stevens_2017_rcode.R,Failed,Container Issue,Missing Package
dzwct,Fisher_Z_3PERIODS_std.R,Failed,Code Issue,Directory Change Failure
dzwct,Fisher_Z_3PERIODS_median.R,Failed,Code Issue,Directory Change Failure
k853j,ESS_openness_2016_perCountry.R,Failed,Code Issue,Object or File Missing
k853j,ESS_openess_2018_perCountry.R,Failed,Code Issue,Object or File Missing
k853j,ESS_openness_2016.R,Failed,Code Issue,Object or File Missing
938ye,Descriptive_statistics.R,Failed,Code Issue,RStudio Environment Error
938ye,Apriori_group_differences.R,Failed,Container Issue,File Read Error - Cannot Open Connection
938ye,Statistical_models_no_T3_criticals.R,Failed,Code Issue,RStudio Environment Error
wxgzu,outcome_evaluation_code_v5.R,Failed,Code Issue,Directory Change Failure
ns4h9,RScript_motives.R,Success,-,-
jhyu9,PrepareData.R,Failed,Container Issue,File Read Error - Cannot Open Connection
jhyu9,example_Rcode_mlrsa_osf_oneL1pred.R,Failed,Code Issue,No such file or directory
gy5vm,preprocess_SHCS.R,Failed,Code Issue,Object or File Missing
gy5vm,risk_factors_monthly.R,Failed,Code Issue,Object or File Missing
uckzx,P1_motif-by-motif_newbins.R,Failed,Code Issue,Invalid Multibyte String (Encoding Issue)
uckzx,P3_analysis.R,Failed,Code Issue,Invalid Multibyte String (Encoding Issue)
uckzx,P2_analysis_oldbins.R,Failed,Code Issue,Invalid Multibyte String (Encoding Issue)
uckzx,P2_analysis_newbins.R,Failed,Code Issue,Invalid Multibyte String (Encoding Issue)
pk9my,PNAS_Social_Mobility_public.R,Failed,Code Issue,Directory Change Failure
sb3kw,Study3B_analyses.R,Failed,Code Issue,Directory Change Failure
